idx,frr,quagga,bird,batfish,gobgp,label,output
6876,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",P,yynyyynyyy
6888,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
6914,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
6930,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
6957,"no,no","no,no","yes,yes","yes,no","yes,yes",C_C,nnnnyyynyy
6958,"yes,no","yes,no","yes,yes","yes,no","yes,yes",C_D,ynynyyynyy
6968,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",A_C,yyyyyyynyy
6970,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",A_D,yyynyyyyyy
6971,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_D,ynynyyynyy
6972,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",A_D,yyynyyyyyy
6974,"yes,no","yes,yes","yes,yes","yes,no","yes,yes",A_MD,ynyyyyynyy
7125,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM,yynyyyyyyy
7249,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PM_C,yynnyyynyy
7355,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
7422,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
7570,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
7599,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MC_C,yyyyyyynyy
7600,"yes,no","yes,no","yes,yes","yes,no","yes,yes",MC_D,ynynyyynyy
7611,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MA_C,yyyyyyynyy
7624,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_LD,ynynyyyyyy
7625,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_MD,ynynyyyyyy
7626,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_LD,ynynyyyyyy
7627,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_MD,ynynyyyyyy
7628,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_LD,ynynyyyyyy
7629,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_MD,ynynyyyyyy
7630,"yes,no","yes,yes","yes,yes","yes,yes","yes,yes",M_LMD,ynyyyyyyyy
9162,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PLM,yynyyyyyyy
9188,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_LC,ynynyyyyyy
9190,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",LM_D,yyynyyyyyy
9191,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_D,ynynyyyyyy
9192,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",LM_D,yyynyyyyyy
9828,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
10133,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,nynyyyyyyy
10253,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
10374,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
10396,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
10397,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL_D,yyyyyynyyy
10448,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
10508,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
10551,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
10667,"yes,yes","no,no","yes,yes","no,no","yes,yes",PL_C,yynnyynnyy
10683,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
10786,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
10812,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_LC,yyyyyyynyy
10813,"yes,no","yes,no","yes,yes","yes,no","yes,yes",PL_MC,ynynyyynyy
10916,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
10925,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
10953,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
10973,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
11021,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
11064,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PLC,yynyyynyyy
11068,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_LC,yyyyyynnyy
11069,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_MC,yyyyyynnyy
11082,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
11108,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
11121,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
11137,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
11158,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
11181,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
11203,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
11218,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
11235,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",LC_LC,yyyyyyynyy
11236,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",LC_MC,yyyyyyynyy
11244,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",LA_C,yyyyyyynyy
11252,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_LMD,ynynyyyyyy
11253,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_LMD,ynynyyyyyy
11254,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",L_LMD,ynynyyyyyy
15339,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
15370,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",P,yynyyyyyyy
15431,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",P,yynyyyyyyy
15668,"yes,yes","no,no","yes,yes","yes,no","yes,yes",P_C,yynnyyynyy
15704,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_C,yyyyyyynyy
15705,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_D,yyyyyyynyy
15735,"yes,no","yes,no","yes,yes","no,no","yes,yes",P_C,ynynyynnyy
15753,"yes,yes","no,no","yes,yes","no,no","yes,yes",P_M,yynnyynnyy
15764,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
15874,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",P,yynyyynyyy
15986,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",P,nynyyyyyyy
16047,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_LC,yyyyyyynyy
16048,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_MC,yyyyyyynyy
16083,"yes,yes","no,no","yes,yes","yes,no","yes,yes",P_C,yynnyyynyy
16192,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",P,yynyyyyyyy
16203,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",P,yynyyynyyy
16343,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_C,yyyyyyynyy
16354,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
16460,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
16477,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
16508,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",P,yynyyyyyyy
16523,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",P_C,yyyyyynnyy
16580,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
16593,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",P,yyyyyynyyy
16607,"yes,no","yes,yes","yes,yes","yes,no","yes,yes",P_D,ynyyyyynyy
16608,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",P_LC,yyyyyyynyy
16609,"yes,yes","no,no","yes,yes","yes,no","yes,yes",P_MC,yynnyyynyy
16622,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",P_C,yyyyyynnyy
16664,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",P_L,yynnyyyyyy
16679,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",P_C,yyyyyynnyy
16702,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",P,yynyyynyyy
16724,"yes,yes","no,no","yes,yes","yes,no","yes,yes",P_C,yynnyyynyy
16745,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",P_L,yynnyyyyyy
16759,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",P_L,yyyyyynnyy
16774,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",CA_C,yyyyyyynyy
16778,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",C_LC,yyyyyyynyy
16779,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",C_MC,yyyyyyynyy
16781,"no,no","no,no","yes,yes","yes,no","yes,yes",C_LD,nnnnyyynyy
16782,"yes,no","yes,no","yes,yes","yes,no","yes,yes",C_MD,ynynyyynyy
16791,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",A_LC,yyyyyyynyy
16792,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",A_MC,yyyyyyynyy
16795,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_LD,ynynyyynyy
16796,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_MD,ynynyyynyy
16797,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_LD,ynynyyynyy
16798,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_MD,ynynyyynyy
16799,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",A_LD,yyynyyyyyy
16800,"yes,no","yes,no","yes,yes","yes,no","yes,yes",A_MD,ynynyyynyy
16969,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM,yynyyyyyyy
16979,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
17030,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM,yynyyyyyyy
17076,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM,yynyyyyyyy
17263,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PM_L,yynnyyyyyy
17360,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMC,nyyyyyyyyy
17361,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMA,nyyyyyyyyy
17536,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMC,nyyyyyyyyy
17537,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMCA,nyyyyyyyyy
17538,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMA,nyyyyyyyyy
17539,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMC,nyyyyyyyyy
17540,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMA,nyyyyyyyyy
17541,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMC,nyyyyyyyyy
17542,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMA,nyyyyyyyyy
17543,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMC,nyyyyyyyyy
17544,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PMA,nyyyyyyyyy
17546,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PM,yynyyynyyy
17566,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMC,yynyyyyyyy
17571,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PM_LC,yyyyyyynyy
17572,"yes,no","yes,no","yes,yes","yes,no","yes,yes",PM_MC,ynynyyynyy
17584,"yes,no","yes,yes","yes,yes","yes,yes","yes,yes",PM_L,ynyyyyyyyy
17585,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PM_C,nyyyyyyyyy
17586,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PM_D,nyyyyyyyyy
17587,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PM_M,nyyyyyyyyy
17588,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PM_LM,nyyyyyyyyy
17721,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PM_C,yynnyyynyy
17868,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
17898,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
17933,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
17962,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PM_C,yynnyyynyy
17992,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMCA,yynyyyyyyy
17993,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMA,yynyyyyyyy
17994,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMA,yynyyyyyyy
17995,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMC,yynyyyyyyy
18015,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PM_C,yyyyyynnyy
18055,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PM,yynyyynyyy
18092,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
18110,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM_D,yyyyyynyyy
18158,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PM_C,yyyyyynnyy
18159,"yes,yes","yes,no","yes,yes","no,no","yes,yes",PM_D,yyynyynnyy
18173,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMA,yynyyyyyyy
18174,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMC,yynyyyyyyy
18175,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMA,yynyyyyyyy
18176,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM_C,yynyyyyyyy
18177,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PM,yyyyyynyyy
18214,"yes,yes","no,no","yes,yes","no,no","yes,yes",PM_C,yynnyynnyy
18216,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM_LC,yynyyyyyyy
18217,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PM_MC,yynyyyyyyy
18218,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMCA,yynyyyyyyy
18219,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMCA,yynyyyyyyy
18220,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PMCA,yynyyyyyyy
18231,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PM_C,yyyyyynnyy
18242,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MCA_C,yyyyyyynyy
18247,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MC_LC,yyyyyyynyy
18248,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MC_MC,yyyyyyynyy
18250,"no,no","no,no","yes,yes","yes,no","yes,yes",MC_LD,nnnnyyynyy
18251,"no,no","no,no","yes,yes","yes,no","yes,yes",MC_MD,nnnnyyynyy
18260,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MA_LC,yyyyyyynyy
18261,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",MA_MC,yyyyyyynyy
18262,"yes,no","yes,no","yes,yes","yes,no","yes,yes",MA_D,ynynyyynyy
18263,"yes,no","yes,no","yes,yes","yes,no","yes,yes",MA_D,ynynyyynyy
18264,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",MA_D,yyynyyyyyy
18275,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",M_LMD,yyynyyyyyy
18276,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",M_LMD,ynynyyyyyy
18277,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",M_LMD,yyynyyyyyy
20951,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PLM_C,yyyyyyynyy
21263,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PLM_C,yyyyyynnyy
21290,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",LMC_C,yyyyyyynyy
21291,"yes,no","yes,no","yes,yes","yes,no","yes,yes",LMC_D,ynynyyynyy
21301,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",LMA_C,yyyyyyynyy
21307,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_LD,ynynyyyyyy
21308,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_MD,ynynyyyyyy
21309,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_LD,ynynyyyyyy
21310,"yes,no","yes,no","yes,yes","yes,yes","yes,yes",LM_MD,ynynyyyyyy
21311,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",LM_LD,yyynyyyyyy
21312,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",LM_MD,yyynyyyyyy
22704,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PL_L,yynnyyyyyy
22862,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,nynyyyyyyy
22896,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
22969,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
23044,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
23101,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
23145,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
23157,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
23174,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PL_L,yynnyyyyyy
23311,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
23364,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23407,"yes,no","no,no","yes,yes","yes,no","yes,yes",PL_C,ynnnyyynyy
23422,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23480,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
23490,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
23519,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
23557,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23596,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PL_C,yynnyyynyy
23634,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23662,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
23693,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23707,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23751,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PL_M,yynnyyyyyy
23766,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23784,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
23805,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
23825,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
23845,"no,yes","no,yes","yes,yes","no,yes","yes,yes",PLC,nynyyynyyy
23851,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_LC,yyyyyynnyy
23852,"yes,no","yes,no","yes,yes","no,no","yes,yes",PL_MC,ynynyynnyy
23853,"yes,no","yes,no","yes,yes","yes,no","yes,yes",PL_D,ynynyyynyy
23854,"yes,no","yes,no","yes,yes","no,no","yes,yes",PL_D,ynynyynnyy
23855,"yes,yes","yes,no","yes,yes","yes,yes","yes,yes",PL_D,yyynyyyyyy
23856,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_LD,yyyyyyynyy
23858,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_LM,yyyyyynnyy
23970,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PL_L,yynnyyyyyy
23971,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_LC,yyyyyyynyy
23972,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_MC,yyyyyyynyy
24007,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
24033,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
24112,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PL_LC,yynnyyynyy
24113,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PL_MC,yynnyyynyy
24186,"yes,no","no,no","yes,yes","yes,no","yes,yes",PL_C,ynnnyyynyy
24213,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
24247,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
24263,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
24288,"yes,yes","no,yes","yes,yes","yes,yes","yes,yes",PL,yynyyyyyyy
24375,"yes,yes","no,no","yes,yes","yes,yes","yes,yes",PL_M,yynnyyyyyy
24376,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_LC,yyyyyyynyy
24377,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PL_MC,yynnyyynyy
24392,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",PLC,nynyyyyyyy
24396,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_LC,yyyyyynnyy
24397,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_MC,yyyyyyynyy
24431,"no,yes","yes,yes","yes,yes","yes,yes","yes,yes",PL_C,nyyyyyyyyy
24633,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
24643,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
24654,"no,yes","no,yes","yes,yes","yes,yes","yes,yes",PLC,nynyyyyyyy
24663,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_LMC,yyyyyyynyy
24716,"yes,yes","no,yes","yes,yes","no,yes","yes,yes",PL,yynyyynyyy
24728,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
24765,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
24783,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
24818,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_L,yyyyyynnyy
24862,"yes,yes","yes,yes","yes,yes","yes,no","yes,yes",PL_C,yyyyyyynyy
24881,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
24920,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
24941,"no,no","no,no","yes,yes","no,no","yes,yes",PL_M,nnnnyynnyy
24942,"yes,yes","no,no","yes,yes","yes,no","yes,yes",PL_LC,yynnyyynyy
24943,"yes,yes","no,no","yes,yes","no,no","yes,yes",PL_MC,yynnyynnyy
24959,"yes,yes","yes,yes","yes,yes","no,no","yes,yes",PL_C,yyyyyynnyy
25018,"yes,no","yes,no","yes,yes","yes,no","yes,yes",PL_C,ynynyyynyy
25047,"yes,yes","yes,yes","yes,yes","no,yes","yes,yes",PL,yyyyyynyyy
